sequence_id,model,tau,pck_percent_mean,frames_used
outdoors_climbing_02,mp,0.2,26.865079,360
outdoors_climbing_02,mp,0.3,44.583333,360
outdoors_climbing_02,mp,0.4,62.02381,360
outdoors_climbing_02,mp,0.5,75.615079,360
outdoors_climbing_02,mp,0.6,83.115079,360
outdoors_climbing_02,mp,0.8,90.93254,360
outdoors_climbing_02,mp,1.0,94.960317,360
outdoors_climbing_02,vibe,0.1,39.608663,376
outdoors_climbing_02,vibe,0.2,75.493921,376
outdoors_climbing_02,vibe,0.3,90.691489,376
outdoors_climbing_02,vibe,0.4,96.580547,376
outdoors_climbing_02,vibe,0.5,98.955167,376
outdoors_climbing_02,vibe,0.6,99.772036,376
outdoors_climbing_02,vibe,0.8,100.0,376
outdoors_climbing_02,vibe,1.0,100.0,376
outdoors_crosscountry_00,mp,0.1,13.280423,135
outdoors_crosscountry_00,mp,0.2,26.719577,135
outdoors_crosscountry_00,mp,0.3,46.402116,135
outdoors_crosscountry_00,mp,0.4,69.94709,135
outdoors_crosscountry_00,mp,0.5,83.544974,135
outdoors_crosscountry_00,mp,0.6,92.063492,135
outdoors_crosscountry_00,mp,0.8,97.671958,135
outdoors_crosscountry_00,mp,1.0,99.153439,135
outdoors_crosscountry_00,vibe,0.1,58.903421,142
outdoors_crosscountry_00,vibe,0.2,86.418511,142
outdoors_crosscountry_00,vibe,0.3,93.863179,142
outdoors_crosscountry_00,vibe,0.4,95.975855,142
outdoors_crosscountry_00,vibe,0.5,97.384306,142
outdoors_crosscountry_00,vibe,0.6,98.138833,142
outdoors_crosscountry_00,vibe,0.8,99.44668,142
outdoors_crosscountry_00,vibe,1.0,99.899396,142
outdoors_fencing_01,mp,0.1,12.716106,942
outdoors_fencing_01,mp,0.2,20.821959,942
outdoors_fencing_01,mp,0.3,33.939945,942
outdoors_fencing_01,mp,0.4,49.620867,942
outdoors_fencing_01,mp,0.5,62.200485,942
outdoors_fencing_01,mp,0.6,71.390658,942
outdoors_fencing_01,mp,0.8,84.463148,942
outdoors_fencing_01,mp,1.0,93.07704,942
outdoors_fencing_01,vibe,0.1,28.541098,942
outdoors_fencing_01,vibe,0.2,60.752199,942
outdoors_fencing_01,vibe,0.3,83.841371,942
outdoors_fencing_01,vibe,0.4,94.168941,942
outdoors_fencing_01,vibe,0.5,98.134668,942
