sequence_id,frame,model,tau,pck_percent,valid_keypoints
courtyard_backpack_00,34,mp,0.4,71.428571,14
courtyard_backpack_00,34,mp,0.5,100.0,14
courtyard_backpack_00,34,mp,0.6,100.0,14
courtyard_backpack_00,34,mp,0.8,100.0,14
courtyard_backpack_00,34,mp,1.0,100.0,14
courtyard_backpack_00,35,mp,0.1,14.285714,14
courtyard_backpack_00,35,mp,0.2,14.285714,14
courtyard_backpack_00,35,mp,0.3,42.857143,14
courtyard_backpack_00,35,mp,0.4,71.428571,14
courtyard_backpack_00,35,mp,0.5,100.0,14
courtyard_backpack_00,35,mp,0.6,100.0,14
courtyard_backpack_00,35,mp,0.8,100.0,14
courtyard_backpack_00,35,mp,1.0,100.0,14
courtyard_backpack_00,36,mp,0.1,14.285714,14
courtyard_backpack_00,36,mp,0.2,14.285714,14
courtyard_backpack_00,36,mp,0.3,42.857143,14
courtyard_backpack_00,36,mp,0.4,71.428571,14
courtyard_backpack_00,36,mp,0.5,100.0,14
courtyard_backpack_00,36,mp,0.6,100.0,14
courtyard_backpack_00,36,mp,0.8,100.0,14
courtyard_backpack_00,36,mp,1.0,100.0,14
courtyard_backpack_00,37,mp,0.1,7.142857,14
courtyard_backpack_00,37,mp,0.2,14.285714,14
courtyard_backpack_00,37,mp,0.3,50.0,14
courtyard_backpack_00,37,mp,0.4,71.428571,14
courtyard_backpack_00,37,mp,0.5,100.0,14
courtyard_backpack_00,37,mp,0.6,100.0,14
courtyard_backpack_00,37,mp,0.8,100.0,14
courtyard_backpack_00,37,mp,1.0,100.0,14
courtyard_backpack_00,38,mp,0.1,14.285714,14
courtyard_backpack_00,38,mp,0.2,14.285714,14
courtyard_backpack_00,38,mp,0.3,50.0,14
courtyard_backpack_00,38,mp,0.4,78.571429,14
courtyard_backpack_00,38,mp,0.5,100.0,14
courtyard_backpack_00,38,mp,0.6,100.0,14
courtyard_backpack_00,38,mp,0.8,100.0,14
courtyard_backpack_00,38,mp,1.0,100.0,14
courtyard_backpack_00,39,mp,0.1,7.142857,14
courtyard_backpack_00,39,mp,0.2,28.571429,14
courtyard_backpack_00,39,mp,0.3,42.857143,14
courtyard_backpack_00,39,mp,0.4,71.428571,14
courtyard_backpack_00,39,mp,0.5,92.857143,14
courtyard_backpack_00,39,mp,0.6,100.0,14
courtyard_backpack_00,39,mp,0.8,100.0,14
courtyard_backpack_00,39,mp,1.0,100.0,14
courtyard_backpack_00,40,mp,0.1,7.142857,14
courtyard_backpack_00,40,mp,0.2,14.285714,14
courtyard_backpack_00,40,mp,0.3,42.857143,14
courtyard_backpack_00,40,mp,0.4,78.571429,14
courtyard_backpack_00,40,mp,0.5,92.857143,14
courtyard_backpack_00,40,mp,0.6,100.0,14
courtyard_backpack_00,40,mp,0.8,100.0,14
courtyard_backpack_00,40,mp,1.0,100.0,14
courtyard_backpack_00,41,mp,0.1,14.285714,14
courtyard_backpack_00,41,mp,0.2,14.285714,14
courtyard_backpack_00,41,mp,0.3,35.714286,14
courtyard_backpack_00,41,mp,0.4,78.571429,14
courtyard_backpack_00,41,mp,0.5,92.857143,14
courtyard_backpack_00,41,mp,0.6,100.0,14
courtyard_backpack_00,41,mp,0.8,100.0,14
